Probe,Score
X215087_at,0.006917855
X217011_at,0.006917068
X221655_x_at,0.006916205
X206881_s_at,0.006913093
X219470_x_at,0.006912501
X213201_s_at,0.006910992
X208935_s_at,0.006904453
X214469_at,0.006904116
X205885_s_at,0.006897981
X213279_at,0.006891842
X209024_s_at,0.006890819
X217769_s_at,0.006889997
X202679_at,0.006885067
X217644_s_at,0.006884155
X205833_s_at,0.006881995
X217053_x_at,0.006880927
X201464_x_at,0.00687947
X217962_at,0.006873838
X208219_at,0.006871013
X205891_at,0.006865651
X207610_s_at,0.006863256
X215509_s_at,0.006863232
X220059_at,0.006862927
X219410_at,0.006861342
X220485_s_at,0.006859992
X220106_at,0.006854631
X206575_at,0.006852864
X204545_at,0.006852138
X215248_at,0.006850399
X215009_s_at,0.006850071
X211269_s_at,0.006849854
X222048_at,0.006846684
X220875_at,0.006846289
X218417_s_at,0.006846058
X217989_at,0.006844339
X206563_s_at,0.00684076
X222214_at,0.006840485
X208095_s_at,0.00683639
X212857_x_at,0.006835902
X217771_at,0.006832356
X214370_at,0.006831061
X220357_s_at,0.006829496
X220807_at,0.006824744
X201737_s_at,0.006818953
X209066_x_at,0.006815037
X218957_s_at,0.006814609
X212804_s_at,0.006809015
X202503_s_at,0.006807939
X207923_x_at,0.006806667
X208059_at,0.006804595
X210800_at,0.006802327
X202526_at,0.006798377
X205691_at,0.006798173
X209918_at,0.006796672
X216089_at,0.00678753
X200930_s_at,0.006785702
X203129_s_at,0.00678085
X204560_at,0.006777589
X203191_at,0.006773534
X219670_at,0.006772574
X212805_at,0.006772325
X209813_x_at,0.006768215
X218953_s_at,0.006768028
X218747_s_at,0.006765334
X203697_at,0.006763486
X216139_s_at,0.006762071
X213562_s_at,0.006760132
X220263_at,0.006759389
X211916_s_at,0.006756298
X217205_at,0.006751959
X210830_s_at,0.006750688
X216370_s_at,0.006750625
X219792_at,0.006749611
X206409_at,0.006744983
X213682_at,0.006742134
X217506_at,0.006740264
X211107_s_at,0.0067402
X206179_s_at,0.006738441
X221914_at,0.006734025
X206100_at,0.006733222
X214192_at,0.00673179
X217482_at,0.006731444
X222330_at,0.006729927
X220591_s_at,0.006729232
X212570_at,0.006728846
X200973_s_at,0.00672566
X214187_x_at,0.006725224
X208129_x_at,0.006725192
X206073_at,0.006724391
X206610_s_at,0.006723558
X221223_x_at,0.006721311
X221343_at,0.006721289
X216075_at,0.006719169
X206738_at,0.006718757
X202435_s_at,0.006718118
X218999_at,0.006717853
X202720_at,0.006716986
X212276_at,0.006714705
X202530_at,0.006714601
X221765_at,0.006714529
X201728_s_at,0.006713263
X43544_at,0.006712827
X202743_at,0.006712788
X209135_at,0.00671155
X209078_s_at,0.0067094
X213156_at,0.006709383
X211354_s_at,0.006705799
X216784_at,0.006705596
X209016_s_at,0.006700284
X205821_at,0.006698813
X205657_at,0.006695321
X206650_at,0.00669527
X206791_s_at,0.006695151
X221065_s_at,0.006693666
X208201_at,0.006693066
X201942_s_at,0.006690585
X215351_at,0.006688891
X209994_s_at,0.006687166
X213927_at,0.006686325
X211423_s_at,0.00668509
X204252_at,0.006683053
X207402_at,0.006675077
X219146_at,0.006671762
X219708_at,0.006668872
X207724_s_at,0.006668251
X207655_s_at,0.006667906
X200962_at,0.006662867
X221031_s_at,0.006662366
X214409_at,0.006662173
X217655_at,0.00666186
X216057_at,0.00665118
X202998_s_at,0.006644376
X210964_s_at,0.006637611
X222082_at,0.00663732
X210519_s_at,0.006635563
X213449_at,0.006634786
X210424_s_at,0.006633816
X220055_at,0.006632781
X207453_s_at,0.006631278
X215592_at,0.006626376
X207872_s_at,0.006624994
X212583_at,0.006622038
X218200_s_at,0.006620427
X220617_s_at,0.006619712
X214985_at,0.006617142
X215176_x_at,0.00661532
X202614_at,0.006613781
X201723_s_at,0.006611826
X213559_s_at,0.006608945
X203828_s_at,0.006605113
X205825_at,0.006604989
X201122_x_at,0.006603252
X220340_at,0.006601415
X213608_s_at,0.006600545
X209136_s_at,0.006600129
X222007_s_at,0.006598079
X212312_at,0.006596635
X214869_x_at,0.006596422
X210822_at,0.006594649
X203912_s_at,0.006593576
